	votes	unemployment_rate	med_hhinc	per_capita_inc	poverty_all_ages_pct	deep_pov_all	deep_pov_children	population	area_in_square_miles	voter_turnout_rate	democrat	county	state	education	religion	age_old	age_young	age_adult	ethnic_male	ethnic_female
1217	-0.3328043540545839	0.037000000000000005	0.31340644690896885	0.23755550811724113	0.111	0.051795332140000004	0.06712626996	-0.27770851074154396	-0.2065516231202435	0.441931158	0	Louisa County	IA	LT High School	CATHOLIC	0.226195798	0.308985249	0.37523468899999995	WHITE MALE	WHITE FEMALE
1218	1.2442604608268615	0.055	-0.09809653517022211	0.45827174826930306	0.19699999999999998	0.08488523045999999	0.12201494730000001	0.8061317651650837	-0.20781034086982847	0.467479994	1	Forsyth County	NC	High School	OTHER MISC	0.199393528	0.33682818400000003	0.387961052	WHITE MALE	WHITE FEMALE
1219	-0.27896997989084027	0.069	-0.18841235031330558	-0.345878683484079	0.16899999999999998	0.07776463631000001	0.1194182712	-0.23728208592332917	-0.2335644372316689	0.449422574	0	Page County	VA	Some College	OTHER CHRISTIAN	0.244120374	0.26654303399999996	0.379077805	WHITE MALE	WHITE FEMALE
1220	-0.08254039542029944	0.046	1.9775145907027092	1.9347389242507689	0.09	0.0408494442	0.051708825369999996	0.12191412580402829	-0.10965124798310598	0.221359578	1	Napa County	CA	High School	OTHER	0.22290391500000004	0.30125793300000003	0.386659741	WHITE MALE	WHITE FEMALE
1221	-0.3602862373689426	0.061	-1.3527674749072574	-1.5157273495164134	0.385	0.17739025860000002	0.1870805369	-0.2927003093722735	-0.2415293524520718	0.312239543	1	Calhoun County	GA	Some College	MAINLINE CHRISTIAN	0.19262231900000001	0.27535113499999997	0.46550393600000006	BLACK MALE	BLACK FEMALE
1222	-0.22214271569491648	0.052000000000000005	-0.7160946883771034	-0.766624494735031	0.201	0.08621083449	0.12945460179999999	-0.15165984456397624	-0.03819942983705899	0.324027007	0	Cherokee County	TX	LT High School	NON-CATHOLIC CHRISTIAN	0.204454619	0.349326763	0.361452796	WHITE MALE	WHITE FEMALE
1223	-0.32503978085789015	0.040999999999999995	-0.18395026978473605	-0.07169266315220861	0.128	0.03321635518	0.0353798127	-0.2740444167655272	-0.2043893444964751	0.462587216	0	Union County	IA	GTE Bachelor's	CATHOLIC	0.23947389500000005	0.325447109	0.346780015	WHITE MALE	WHITE FEMALE
1224	-0.3631191301352515	0.039	-0.21584588245191833	0.20670081529217132	0.154	0.05446963774	0.06965174129	-0.30138935524390875	-0.08009749534399142	0.449960805	0	Fisher County	TX	LT High School	CATHOLIC	0.264698195	0.287431408	0.32845571	WHITE MALE	WHITE FEMALE
1225	3.5619996774457716	0.061	0.6390556943736458	0.541544356746054	0.12300000000000001	0.0538414737	0.08244538239	2.372421729587783	-0.1665102968663296	0.484220203	0	Macomb County	MI	GTE Bachelor's	MAINLINE CHRISTIAN	0.219914667	0.29562578100000003	0.401026781	WHITE MALE	WHITE FEMALE
1226	-0.3610203424711754	0.037000000000000005	-0.6925448189207642	0.6114933478665248	0.185	0.06051743532	0.12038303689999999	-0.29936723537745835	0.011154318605693178	0.44325433	0	Kimble County	TX	GTE Bachelor's	MAINLINE CHRISTIAN	0.298541477	0.252278943	0.309252508	WHITE MALE	WHITE FEMALE
1227	-0.35973095274033057	0.027000000000000003	0.396450723412902	0.19513030548277013	0.122	0.04272397721	0.04202719407	-0.3012136576251808	-0.20446507647725926	0.548472076	0	Adams County	IA	GTE Bachelor's	CATHOLIC	0.278977871	0.292676502	0.33561643799999996	WHITE MALE	WHITE FEMALE
1228	-0.2980755357566444	0.038	-0.007450195543540886	0.19986369585934335	0.138	0.01589055512	0.009105041080000001	-0.252548611739706	-0.06215946168859881	0.435218794	0	Lavaca County	TX	LT High School	MAINLINE CHRISTIAN	0.253629764	0.310395242	0.33030853	WHITE MALE	WHITE FEMALE
1229	-0.31056473409847796	0.051	-0.1385857844109457	0.06014102437308969	0.158	0.06901995453	0.1212217626	-0.26217364674383725	-0.1983960722240736	0.466033042	0	Alleghany County	VA	LT High School	NON-CATHOLIC CHRISTIAN	0.27594565299999996	0.257192065	0.335906103	WHITE MALE	WHITE FEMALE
1230	-0.3419618446247452	0.055999999999999994	-1.0852079054348838	-1.0183707384668506	0.22899999999999998	0.07569087797	0.1051930759	-0.2877104970004006	0.02154265721118913	0.488314883	0	Conejos County	CO	GTE Bachelor's	MORMON	0.231119311	0.35768757800000006	0.321033211	WHITE MALE	WHITE FEMALE
1231	-0.2759112086315367	0.057999999999999996	-0.41663950623754764	-0.1563677576664627	0.162	0.05848042393	0.08888062477	-0.22709481853926855	-0.12725762779161623	0.405461255	1	Orleans County	VT	GTE Bachelor's	MAINLINE CHRISTIAN	0.261586716	0.27073800800000003	0.360258303	WHITE MALE	WHITE FEMALE
1232	-0.20981351461895423	0.05	-0.33780941689948574	-0.6914161809739233	0.16399999999999998	0.05766681396	0.09505609665999999	-0.19525521552361097	-0.24673396754527274	0.482545211	0	Alexander County	NC	LT High School	MAINLINE CHRISTIAN	0.229497656	0.281125252	0.382290689	WHITE MALE	WHITE FEMALE
1233	-0.25306924602744474	0.048	-0.16362301404347482	-0.37042218914038455	0.152	0.0660297101	0.127840092	-0.20902351982756243	-0.20564806224606008	0.417418632	0	Wabash County	IN	GTE Bachelor's	OTHER CHRISTIAN	0.248086378	0.314456408	0.344203124	WHITE MALE	WHITE FEMALE
1234	-0.12596553569853602	0.05	0.1826840136460612	-0.22789454557912453	0.159	0.05923109267	0.07738141905	-0.12268251548250438	-0.17548061941783252	0.458806286	0	Granville County	NC	LT High School	OTHER MISC	0.216399086	0.29551419599999995	0.39923986800000005	WHITE MALE	WHITE FEMALE
1235	0.9381198099880059	0.057	-0.3459072667476305	-0.887062983205616	0.193	0.07756569906	0.1203662075	0.5442305056849303	0.07767572365793012	0.432049458	1	Osceola County	FL	GTE Bachelor's	OTHER MISC	0.168661051	0.338717194	0.418036809	WHITE MALE	WHITE FEMALE
1236	1.2087316561995656	0.102	0.02642856402522785	-0.62918086305972	0.245	0.09313407	0.134525596	2.3681187351800284	1.8160458907107986	0.191270223	0	Kern County	CA	LT High School	OTHER MISC	0.150348683	0.406289675	0.39580650599999995	WHITE MALE	WHITE FEMALE
